modelType, epochs,inputDim, xLenght, yLenght, learningRate, unitsHiddenLayer, typeTraining, trainingSize,miniBatchSize, typeAF, lossTrain, lossTest,RMSE,DiffMaxMin,stdDev, folder,Comments,
lstm+AF8-unguided,50000,1,15,5,0.001,50,RB,704,150,sigmoid,0,0.196,,1,0.31,20+AC0-05+AC0-02+AF8-07+AC0-07,,./Data/DropCloseDate+AF8-Quant/utility.csv
lstm+AF8-unguided,50000,1,15,5,0.0001,100,RB,704,150,sigmoid,0.003,0.248,,1,0.37,20+AC0-05+AC0-02+AF8-07+AC0-54,,./Data/DropCloseDate+AF8-Quant/utility.csv
lstm+AF8-unguided,50000,1,15,5,0.01,10,RB,922,150,sigmoid,0.097,0.061,,0.33,0.02,20+AC0-05+AC0-02+AF8-09+AC0-08,,./Data/Median+AF8-Quant/utility.csv
lstm+AF8-unguided,50000,1,15,5,0.001,50,RB,922,150,sigmoid,0,0.125,,1,0.27,20+AC0-05+AC0-02+AF8-09+AC0-51,,./Data/Median+AF8-Quant/utility.csv
lstm+AF8-unguided,50000,1,15,5,0.0001,100,RB,922,150,sigmoid,0,0.139,,1,0.29,20+AC0-05+AC0-02+AF8-11+AC0-01,,./Data/Median+AF8-Quant/utility.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,579,150,sigmoid,0.041,0.049,865.0,0.84,0.05,20-05-04_13-41,,./Data/With_Features/utility.csv
lstm_unguided,50000,1,15,5,0.001,50,RB,579,150,sigmoid,0.0,0.078,1088.0,0.98,0.16,20-05-04_14-01,,./Data/With_Features/utility.csv
lstm_unguided,50000,1,15,5,0.0001,100,RB,579,150,sigmoid,0.001,0.12,1350.0,1.0,0.27,20-05-04_14-35,,./Data/With_Features/utility.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,704,150,sigmoid,0.091,0.106,959.0,0.44,0.01,20-05-04_15-28,,./Data/DropCloseDate_Quant/utility.csv
lstm_unguided,50000,1,15,5,0.001,50,RB,704,150,sigmoid,0.0,0.199,1316.0,1.0,0.3,20-05-04_15-55,,./Data/DropCloseDate_Quant/utility.csv
lstm_unguided,50000,1,15,5,0.0001,100,RB,704,150,sigmoid,0.001,0.246,1463.0,1.0,0.36,20-05-04_16-40,,./Data/DropCloseDate_Quant/utility.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,922,150,sigmoid,0.094,0.062,732.0,0.24,0.01,20-05-04_17-52,,./Data/Median_Quant/utility.csv
lstm_unguided,50000,1,15,5,0.001,50,RB,922,150,sigmoid,0.0,0.135,1083.0,1.0,0.28,20-05-04_18-33,,./Data/Median_Quant/utility.csv
lstm_unguided,50000,1,15,5,0.0001,100,RB,922,150,sigmoid,0.0,0.132,1072.0,1.0,0.29,20-05-04_19-40,,./Data/Median_Quant/utility.csv
lstm_guided,50000,1,15,5,0.01,10,FB,579,150,sigmoid,0.004,0.076,1077.0,0.88,0.1,20-05-04_21-40,,./Data/With_Features/utility.csv
lstm_guided,50000,1,15,5,0.001,50,FB,579,150,sigmoid,0.0,0.097,1180.0,0.85,0.15,20-05-04_22-00,,./Data/With_Features/utility.csv
lstm_guided,50000,1,15,5,0.0001,100,FB,579,150,sigmoid,0.001,0.377,2379.0,0.93,0.16,20-05-04_22-37,,./Data/With_Features/utility.csv
lstm_guided,50000,1,15,5,0.01,10,FB,704,150,sigmoid,0.029,0.539,2166.0,0.62,0.07,20-05-04_23-38,,./Data/DropCloseDate_Quant/utility.csv
lstm_guided,50000,1,15,5,0.001,50,FB,704,150,sigmoid,0.0,0.193,1293.0,0.94,0.16,20-05-05_00-04,,./Data/DropCloseDate_Quant/utility.csv
lstm_guided,50000,1,15,5,0.0001,100,FB,704,150,sigmoid,0.001,0.149,1137.0,0.97,0.2,20-05-05_00-51,,./Data/DropCloseDate_Quant/utility.csv
lstm_guided,50000,1,15,5,0.01,10,FB,922,150,sigmoid,0.056,0.108,969.0,1.0,0.05,20-05-05_02-09,,./Data/Median_Quant/utility.csv
lstm_guided,50000,1,15,5,0.001,50,FB,922,150,sigmoid,0.0,0.122,988.0,0.93,0.19,20-05-05_02-47,,./Data/Median_Quant/utility.csv
lstm_guided,50000,1,15,5,0.0001,100,FB,922,150,sigmoid,0.001,0.123,1021.0,0.99,0.22,20-05-05_03-57,,./Data/Median_Quant/utility.csv
lstm_unguided,50000,1,15,5,0.01,10,FB,579,150,sigmoid,0.035,0.049,866.0,0.85,0.05,20-05-05_05-54,,./Data/With_Features/utility.csv
lstm_unguided,50000,1,15,5,0.001,50,FB,579,150,sigmoid,0.0,0.075,1069.0,0.97,0.17,20-05-05_06-14,,./Data/With_Features/utility.csv
lstm_unguided,50000,1,15,5,0.0001,100,FB,579,150,sigmoid,0.006,0.11,1292.0,1.0,0.24,20-05-05_06-46,,./Data/With_Features/utility.csv
lstm_unguided,50000,1,15,5,0.01,10,FB,704,150,sigmoid,0.098,0.105,957.0,0.5,0.02,20-05-05_07-37,,./Data/DropCloseDate_Quant/utility.csv
lstm_unguided,50000,1,15,5,0.001,50,FB,704,150,sigmoid,0.0,0.193,1296.0,1.0,0.3,20-05-05_08-03,,./Data/DropCloseDate_Quant/utility.csv
lstm_unguided,50000,1,15,5,0.0001,100,FB,704,150,sigmoid,0.006,0.245,1460.0,1.0,0.37,20-05-05_08-46,,./Data/DropCloseDate_Quant/utility.csv
lstm_unguided,50000,1,15,5,0.01,10,FB,922,150,sigmoid,0.093,0.061,730.0,0.0,0.0,20-05-05_09-57,,./Data/Median_Quant/utility.csv
lstm_unguided,50000,1,15,5,0.001,50,FB,922,150,sigmoid,0.0,0.136,1088.0,1.0,0.27,20-05-05_10-38,,./Data/Median_Quant/utility.csv
lstm_unguided,50000,1,15,5,0.0001,100,FB,922,150,sigmoid,0.003,0.152,1147.0,1.0,0.31,20-05-05_11-45,,./Data/Median_Quant/utility.csv
