modelType, epochs,inputDim, xLenght, yLenght, learningRate, unitsHiddenLayer, typeTraining, trainingSize,miniBatchSize, typeAF, lossTraint, lossTest,RMSE,DiffMaxMin,stdDev,BestPrevIteration,BestLoss,BestStd,ratioPeaks, folder,Comments,preproFile,
lstm+AF8-guided,50000,1,15,5,0.001,5,AD,499,200,relu,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-17+AC0-27,,,
lstm+AF8-guided,50000,1,15,5,0.001,20,AD,499,200,relu,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-17+AC0-42,,,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,499,100,relu,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-19+AC0-01,,,
lstm+AF8-guided,50000,1,15,5,0.001,5,RB,499,200,relu,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-20+AC0-45,,,
lstm+AF8-guided,50000,1,15,5,0.001,100,RB,499,200,relu,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-21+AC0-09,,,
lstm+AF8-guided,10000,1,15,5,0.001,5,AD,499,200,sigmoid,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-22+AC0-46,,,
lstm+AF8-guided,10000,1,15,5,0.001,5,RB,499,100,sigmoid,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-23+AC0-02,,,
lstm+AF8-guided,10000,1,15,5,0.001,100,RB,499,100,sigmoid,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-23+AC0-08,,,
lstm+AF8-guided,10000,1,15,5,0.001,5,RB,499,200,sigmoid,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-23+AC0-29,,,
lstm+AF8-guided,10000,1,15,5,0.001,100,RB,499,200,sigmoid,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-23+AC0-33,,,
lstm+AF8-guided,10000,1,15,5,0.0001,5,AD,499,200,sigmoid,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-23+AC0-51,,,
lstm+AF8-guided,10000,1,15,5,0.0001,100,AD,499,200,sigmoid,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-20+AF8-23+AC0-54,,,
lstm+AF8-guided,10000,1,15,5,0.0001,5,RB,499,100,sigmoid,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-21+AF8-00+AC0-12,,,
lstm+AF8-guided,10000,1,15,5,0.0001,100,RB,499,100,sigmoid,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-21+AF8-00+AC0-18,,,
lstm+AF8-guided,10000,1,15,5,0.0001,5,RB,499,200,sigmoid,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-21+AF8-00+AC0-39,,,
lstm+AF8-guided,10000,1,15,5,0.0001,100,RB,499,200,sigmoid,nan,nan,,nan,nan,,,,,20+AC0-04+AC0-21+AF8-00+AC0-42,,,
lstm+AF8-unguided,500,1,15,5,0.001,5,RB,375,100,sigmoid,0.01,0.014,,0,,,,,,20+AC0-04+AC0-22+AF8-06+AC0-50,flat,,
lstm+AF8-unguided,500,1,15,5,0.001,5,RB,375,100,sigmoid,0.009,0.014,,0,,,,,,20+AC0-04+AC0-22+AF8-06+AC0-51,flat,,
lstm+AF8-unguided,10000,1,15,5,0.001,5,RB,375,100,sigmoid,0.007,0.015,,0,,,,,,20+AC0-04+AC0-22+AF8-06+AC0-53,flat,,
lstm+AF8-unguided,30000,1,15,5,0.001,20,RB,375,100,sigmoid,0.01,0.015,,0.39,,,,,,20+AC0-04+AC0-22+AF8-07+AC0-09,Validation seems slightly getting worse,,
lstm+AF8-unguided,30000,1,15,5,0.001,40,RB,375,100,sigmoid,0.008,0.019,,0.93,,,,,,20+AC0-04+AC0-22+AF8-07+AC0-35,Validation seems slightly getting worse. We should se if std is betterr even when score is worse compared to previous,,
lstm+AF8-unguided,20000,1,15,5,0.01,40,RB,375,100,sigmoid,0.009,0.016,,0.48,,,,,,20+AC0-04+AC0-22+AF8-08+AC0-10,+ACI-Validation seems slightly getting better, expand to 40000+ACI-,
lstm+AF8-unguided,40000,1,15,5,0.001,40,RB,375,100,sigmoid,0.004,0.021,,0.99,,,,,,20+AC0-04+AC0-22+AF8-08+AC0-28,Validation seems slightly getting worse. Cut in 18000,,
lstm+AF8-unguided,60000,1,15,5,0.0001,40,RB,375,100,sigmoid,0.006,0.018,,0.97,,,,,,20+AC0-04+AC0-22+AF8-09+AC0-04,Validation seems slightly getting worse. Cut in 18000,,
lstm+AF8-unguided,20000,1,15,5,0.01,10,RB,375,100,sigmoid,0.009,0.016,,0.54,,,,,,20+AC0-04+AC0-22+AF8-09+AC0-55,+ACI-Validation seems slightly getting better, expand to 40000+ACI-,
lstm+AF8-unguided,40000,1,15,5,0.001,10,RB,375,100,sigmoid,0.005,0.026,,0.97,,,,,,20+AC0-04+AC0-22+AF8-10+AC0-07,Validation seems slightly getting worse. Training seems to have space to get better.,,
lstm+AF8-unguided,60000,1,15,5,0.0001,10,RB,375,100,sigmoid,0.009,0.016,,0.94,,,,,,20+AC0-04+AC0-22+AF8-10+AC0-34,Validation seems slightly getting worse. Cut in 12000 but seems to be still flat,,
lstm+AF8-unguided,50,1,15,5,0.01,40,RB,375,100,sigmoid,0.009,0.015,,0,0,,,,,20+AC0-04+AC0-22+AF8-14+AC0-18,,,
lstm+AF8-unguided,50000,1,15,5,0.01,40,RB,375,100,sigmoid,0.009,0.019,,0.89,0.06,,,,,20+AC0-04+AC0-22+AF8-14+AC0-23,Good example for oscillating std,,
lstm+AF8-unguided,18000,1,15,5,0.001,40,RB,375,100,sigmoid,0.007,0.015,,0.38,0.02,,,,,20+AC0-04+AC0-22+AF8-15+AC0-10,,,
lstm+AF8-unguided,18000,1,15,5,0.0001,40,RB,375,100,sigmoid,0.012,0.016,,0.93,0.03,,,,,20+AC0-04+AC0-22+AF8-15+AC0-29,,,
lstm+AF8-unguided,50000,1,15,5,0.01,10,RB,375,100,sigmoid,0.011,0.018,,0.99,0.06,,,,,20+AC0-04+AC0-22+AF8-15+AC0-46,,,
lstm+AF8-unguided,100000,1,15,5,0.0001,10,RB,375,100,sigmoid,0.009,0.015,,0.02,0,,,,,20+AC0-04+AC0-22+AF8-16+AC0-22,,,
lstm+AF8-unguided,200000,1,15,5,0.01,10,RB,375,100,sigmoid,0.006,0.015,,0.04,0.01,,,,,20+AC0-04+AC0-23+AF8-10+AC0-13,,,
lstm+AF8-unguided,200000,1,15,5,0.01,10,RB,375,50,sigmoid,0.009,0.015,,0,0,,,,,20+AC0-04+AC0-23+AF8-11+AC0-48,,,
lstm+AF8-unguided,200000,1,15,5,0.01,10,RB,375,100,sigmoid,0.007,0.015,,0.04,0,,,,,20+AC0-04+AC0-23+AF8-22+AC0-01,,,
lstm+AF8-unguided,50000,1,15,5,0.01,10,RB,499,100,sigmoid,0.07,0.1,,0.86,0.11,,,,,20+AC0-04+AC0-24+AF8-21+AC0-11,No filtered events,,
lstm+AF8-unguided,40000,1,15,5,0.01,40,RB,499,100,sigmoid,0.065,0.101,,0.97,0.1,,,,,20+AC0-04+AC0-24+AF8-22+AC0-09,No filtered events,,
lstm+AF8-unguided,40000,1,15,5,0.001,40,RB,499,100,sigmoid,0,0.171,,1,0.28,,,,,20+AC0-04+AC0-24+AF8-23+AC0-01,No filtered events,,
lstm+AF8-unguided,40000,1,15,5,0.0001,40,RB,499,100,sigmoid,0.025,0.17,,1,0.27,,,,,20+AC0-04+AC0-24+AF8-23+AC0-52,No filtered events,,
lstm+AF8-unguided,40000,1,15,5,0.01,10,RB,499,100,sigmoid,0.061,0.1,,1,0.1,,,,,20+AC0-04+AC0-25+AF8-00+AC0-41,No filtered events,,
lstm+AF8-unguided,100000,1,15,5,0.0001,10,RB,499,100,sigmoid,0.036,0.145,,1,0.24,,,,,20+AC0-04+AC0-25+AF8-01+AC0-17,No filtered events,,
lstm+AF8-unguided,20000,1,15,5,0.01,40,RB,499,100,sigmoid,0.062,0.104,,0.97,0.1,,,,,20+AC0-04+AC0-25+AF8-23+AC0-16,No filtered events,,
lstm+AF8-unguided,40000,1,15,5,0.001,40,RB,499,100,sigmoid,0.007,0.159,,1,0.26,,,,,20+AC0-04+AC0-25+AF8-23+AC0-41,No filtered events,,
lstm+AF8-unguided,60000,1,15,5,0.0001,40,RB,499,100,sigmoid,0.017,0.169,,1,0.27,,,,,20+AC0-04+AC0-26+AF8-00+AC0-28,No filtered events,,
lstm+AF8-unguided,20000,1,15,5,0.01,10,RB,499,100,sigmoid,0.064,0.1,,0.98,0.09,,,,,20+AC0-04+AC0-26+AF8-01+AC0-39,No filtered events,,
lstm+AF8-unguided,40000,1,15,5,0.001,10,RB,499,100,sigmoid,0.038,0.14,,1,0.21,,,,,20+AC0-04+AC0-26+AF8-01+AC0-57,No filtered events,,
lstm+AF8-unguided,60000,1,15,5,0.0001,10,RB,499,100,sigmoid,0.041,0.114,,1,0.14,,,,,20+AC0-04+AC0-26+AF8-02+AC0-32,No filtered events,,
lstm+AF8-unguided,100,1,15,5,0.01,40,RB,499,100,sigmoid,0.065,0.094,,0.33,0.04,,,,,20+AC0-04+AC0-28+AF8-20+AC0-58,No filtered events,,
lstm+AF8-guided,100,1,15,5,0.01,40,RB,499,100,sigmoid,0.062,0.092,,0.04,0.01,,,,,20+AC0-04+AC0-28+AF8-21+AC0-33,No filtered events,,
lstm+AF8-guided,100,1,15,5,0.01,40,RB,499,100,sigmoid,0.056,0.206,,0.17,0.02,,,,,20+AC0-04+AC0-28+AF8-22+AC0-24,No filtered events,,
lstm+AF8-guided,50000,1,15,5,0.01,10,RB,499,100,sigmoid,0.064,0.121,,1,0.25,,,,,20+AC0-04+AC0-28+AF8-22+AC0-46,No filtered events,,
lstm+AF8-guided,50000,1,15,5,0.001,40,RB,499,100,sigmoid,0,0.423,,0.98,0.22,,,,,20+AC0-04+AC0-28+AF8-23+AC0-32,No filtered events,,
lstm+AF8-guided,50000,1,15,5,0.0001,80,RB,499,100,sigmoid,0.004,0.341,,1,0.24,,,,,20+AC0-04+AC0-29+AF8-00+AC0-33,No filtered events,,
lstm+AF8-guided,50000,1,15,5,0.001,40,RB,375,100,sigmoid,0,0.147,,0.99,0.3,,,,,20+AC0-04+AC0-29+AF8-02+AC0-06,With+AF8-features,,
lstm+AF8-unguided,50000,1,15,5,0.01,10,RB,499,100,sigmoid,0.054,0.094,,0.64,0.04,,,,,20+AC0-04+AC0-29+AF8-02+AC0-53,No filtered events. Interesting example. At 20000 reached the best,,
lstm+AF8-unguided,50000,1,15,5,0.001,40,RB,499,100,sigmoid,0.002,0.172,,1,0.27,,,,,20+AC0-04+AC0-29+AF8-03+AC0-36,No filtered events,,
lstm+AF8-unguided,50000,1,15,5,0.0001,80,RB,499,100,sigmoid,0.016,0.181,,1,0.29,,,,,20+AC0-04+AC0-29+AF8-04+AC0-34,No filtered events,,
lstm+AF8-unguided,50000,1,15,5,0.001,40,RB,375,100,sigmoid,0.001,0.026,,0.97,0.12,,,,,20+AC0-04+AC0-29+AF8-06+AC0-01,With+AF8-features,,
lstm+AF8-guided,50000,1,15,5,0.01,10,RB,437,150,sigmoid,0.001,0.679,,0.13,0.01,,,,,20+AC0-04+AC0-29+AF8-22+AC0-02,Drop+AC0-CloseDate and quantile per group,,
lstm+AF8-guided,50000,1,15,5,0.001,40,RB,437,150,sigmoid,0,0.206,,0.98,0.23,,,,,20+AC0-04+AC0-29+AF8-22+AC0-27,Drop+AC0-CloseDate and quantile per group,,
lstm+AF8-unguided,50000,1,15,5,0.01,10,RB,437,150,sigmoid,0.072,0.142,,0.54,0.06,,,,,20+AC0-04+AC0-29+AF8-23+AC0-05,Drop+AC0-CloseDate and quantile per group,,
lstm+AF8-unguided,50000,1,15,5,0.001,40,RB,437,150,sigmoid,0,0.252,,1,0.34,,,,,20+AC0-04+AC0-29+AF8-23+AC0-29,Drop+AC0-CloseDate and quantile per group,,
lstm+AF8-guided,50000,1,15,5,0.01,10,RB,499,150,sigmoid,0.082,0.721,,1,0.09,,,,,20+AC0-04+AC0-30+AF8-00+AC0-04,Median and quant per group,,
lstm+AF8-guided,50000,1,15,5,0.001,40,RB,499,150,sigmoid,0,0.137,,0.93,0.14,,,,,20+AC0-04+AC0-30+AF8-00+AC0-40,Median and quant per group,,
lstm+AF8-unguided,50000,1,15,5,0.01,10,RB,499,150,sigmoid,0.065,0.11,,1,0.07,,,,,20+AC0-04+AC0-30+AF8-01+AC0-34,Median and quant per group,,
lstm+AF8-unguided,50000,1,15,5,0.001,40,RB,499,150,sigmoid,0,0.203,,1,0.31,,,,,20+AC0-04+AC0-30+AF8-02+AC0-10,Median and quant per group,,
lstm_guided,1000,1,15,5,0.001,10,RB,375,300,sigmoid,0.009,0.086,886.3541,0.2,0.07,,,,,20-05-01_16-46,,./Data/With_Features/law.csv,
lstm_guided,1000,1,15,5,0.001,10,RB,499,300,sigmoid,0.065,0.186,493.1817,0.17,0.04,,,,,20-05-01_16-47,,./Data/Median_Quant/law.csv,
lstm_guided,1000,1,15,5,0.001,10,RB,437,300,sigmoid,0.084,0.134,419.4314,0.1,0.03,,,,,20-05-01_16-48,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.01,10,RB,375,100,sigmoid,0.001,0.582,2258.2158,0.98,0.28,,,,,20-05-01_18-57,,./Data/With_Features/law.csv,
lstm_guided,50000,1,15,5,0.001,50,RB,375,100,sigmoid,0,0.518,2220.1102,0.9,0.14,,,,,20-05-01_19-50,,./Data/With_Features/law.csv,
lstm_guided,50000,1,15,5,0.0001,100,RB,375,100,sigmoid,0.005,0.204,1297.8643,0.67,0.2,,,,,20-05-01_20-44,,./Data/With_Features/law.csv,
lstm_guided,50000,1,15,5,0.01,10,RB,437,100,sigmoid,0.007,0.198,509.0851,0.93,0.05,,,,,20-05-01_22-27,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.001,50,RB,437,100,sigmoid,0,0.506,811.7,0.82,0.15,,,,,20-05-01_23-06,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.0001,100,RB,437,100,sigmoid,0,0.225,541.1294,0.92,0.16,,,,,20-05-02_00-11,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.01,10,RB,499,100,sigmoid,0.039,0.73,978.4893,0,0,,,,,20-05-02_02-12,,./Data/Median_Quant/law.csv,
lstm_guided,50000,1,15,5,0.001,50,RB,499,100,sigmoid,0,0.439,757.3851,0.94,0.16,,,,,20-05-02_02-51,,./Data/Median_Quant/law.csv,
lstm_guided,50000,1,15,5,0.0001,100,RB,499,100,sigmoid,0.002,0.257,573.1238,0.96,0.22,,,,,20-05-02_03-58,,./Data/Median_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.01,10,RB,375,100,sigmoid,0.008,0.016,,0.03,0.01,,,,,20-05-02_05-56,,./Data/With_Features/law.csv,
lstm_unguided,50000,1,15,5,0.001,50,RB,375,100,sigmoid,0.001,0.026,,1,0.11,,,,,20-05-02_06-28,,./Data/With_Features/law.csv,
lstm_unguided,50000,1,15,5,0.0001,100,RB,375,100,sigmoid,0.007,0.021,,0.97,0.09,,,,,20-05-02_07-19,,./Data/With_Features/law.csv,
lstm_unguided,50000,1,15,5,0.01,10,RB,437,100,sigmoid,0.086,0.151,,0.98,0.13,,,,,20-05-02_08-42,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.001,50,RB,437,100,sigmoid,0,0.251,,1,0.34,,,,,20-05-02_09-26,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.0001,100,RB,437,100,sigmoid,0.001,0.275,,1,0.37,,,,,20-05-02_10-37,,./Data/DropCloseDate_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.01,10,RB,499,100,sigmoid,0.073,0.109,,0.2,0.02,,,,,20-05-02_12-33,,./Data/Median_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.001,50,RB,499,100,sigmoid,0.002,0.176,,1,0.29,,,,,20-05-02_13-23,,./Data/Median_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.0001,100,RB,499,100,sigmoid,0.002,0.227,,1,0.34,,,,,20-05-02_14-35,,./Data/Median_Quant/law.csv,
lstm_guided,500,1,15,5,0.001,10,RB,437,300,sigmoid,0.073,0.17,472,0.11,0.03,,,,,20-05-02_16-45,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.01,10,RB,375,100,sigmoid,0.013,0.285,1294,1,0.41,,,,,20-05-02_23-43,,./Data/With_Features/law.csv,
lstm_guided,50000,1,15,5,0.001,50,RB,375,100,sigmoid,0,0.369,1813,0.94,0.22,,,,,20-05-03_00-16,,./Data/With_Features/law.csv,
lstm_guided,50000,1,15,5,0.0001,100,RB,375,100,sigmoid,0.001,0.254,1474,0.83,0.21,,,,,20-05-03_01-08,,./Data/With_Features/law.csv,
lstm_guided,50000,1,15,5,0.01,10,RB,437,100,sigmoid,0.048,0.198,510,0.62,0.03,,,,,20-05-03_02-36,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.001,50,RB,437,100,sigmoid,0,0.457,772,0.85,0.14,,,,,20-05-03_03-19,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.0001,100,RB,437,100,sigmoid,0,0.191,492,0.91,0.19,,,,,20-05-03_04-27,,./Data/DropCloseDate_Quant/law.csv,
lstm_guided,50000,1,15,5,0.01,10,RB,499,100,sigmoid,0.021,0.671,934,1,0.29,,,,,20-05-03_06-32,,./Data/Median_Quant/law.csv,
lstm_guided,50000,1,15,5,0.001,50,RB,499,100,sigmoid,0,0.239,552,0.99,0.21,,,,,20-05-03_07-16,,./Data/Median_Quant/law.csv,
lstm_guided,50000,1,15,5,0.0001,100,RB,499,100,sigmoid,0,0.383,702,0.97,0.19,,,,,20-05-03_08-24,,./Data/Median_Quant/law.csv,
lstm_unguided,50000,1,15,5,0.01,10,RB,375,100,sigmoid,0.005,0.015,379,0.04,0,,,,,20-05-04_09-22,,./Data/With_Features/law.csv,
lstm_unguided,50000,1,15,5,0.001,50,RB,375,100,sigmoid,0,0.027,503,0.97,0.11,,,,,20-05-04_09-54,,./Data/With_Features/law.csv,
lstm_unguided,50000,1,15,5,0.0001,100,RB,375,100,sigmoid,0.009,0.024,472,1,0.1,,,,,20-05-04_10-45,,./Data/With_Features/law.csv,
lstm_unguided,50000,1,15,5,0.01,10,RB,437,100,sigmoid,0.074,0.138,425,0.9,0.06,,,,,20-05-04_12-06,,./Data/DropCloseDate_Quant/law.csv,
