Incident Type,Location,Borough,Creation Date,Closed Date,Latitude,Longitude
Utility-Water Main,St.Nicholas Avenue c/s West 162 Street,Manhattan,01/19/2017 09:30:45 PM,,40.7899751521,-74.0174745475
Fire-2nd Alarm,41-45 70 Street,Queens,02/05/2017 06:38:30 AM,,40.714003641,-73.8299893315
Utility-Power Outage,2800 W 5 St,Brooklyn,11/18/2016 02:13:08 PM,11/18/2016 11:31:39 PM,40.5796798866,-73.9719092761
Administration-Other,Seagirt Blvd & Beach 9 Street,Queens,11/14/2016 03:53:54 PM,,40.714003641,-73.8299893315
Administration-Planned Event,1227 Tinton Avenue,Bronx,06/01/2016 02:29:27 PM,,40.8300866728,-73.9000468719
Law Enforcement-Other,,Brooklyn,10/29/2016 05:35:28 PM,,,
Structural-Crane,,Brooklyn,11/18/2016 01:12:51 PM,,,
Utility-Gas Low Pressure,Noble Avenue & Watson Avenue,Bronx,01/30/2017 09:47:09 PM,,40.8273009131,-73.8691789768
Fire-3rd Alarm,7 East 84 Street,Manhattan,03/14/2017 03:04:32 AM,,40.7144215406,-74.0060763804
Utility-Water Main,145 Avenue  & 229 Street,Queens,09/26/2017 08:24:46 PM,,40.66173,-73.7506305
Utility-Gas Service Line,21-24 31 Street,Queens,03/21/2017 07:39:32 PM,,40.714003641,-73.8299893315
Fire-1st Alarm,826 Broadway,Manhattan,03/31/2017 07:57:15 AM,,40.7144215406,-74.0060763804
Structural-Street Collapse,44 Street & East 4th Street,Brooklyn,03/30/2017 07:58:26 PM,,40.6514931405,-73.9982255762
Fire-Other,172 wythe ave,Brooklyn,04/01/2017 05:29:36 PM,,40.7193524569,-73.9606720079
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 06:35:24 PM,,40.714003641,-73.8299893315
Law Enforcement-Haz Mat,150 dreiser loop,Bronx,04/13/2017 11:22:35 PM,,40.8768568566,-73.8297988884
Structural-Partial Collapse,246 West Fordham Road,Bronx,04/01/2017 09:55:47 AM,,40.8617165739,-73.9106834321
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.6182550552,-73.9321540294
Fire-5th Alarm,60 East 9th Street,Manhattan,06/28/2017 06:04:26 PM,,40.7313577935,-73.9924545169
HazMat-High Carbon Monoxide,1750 Grand Course,Bronx,05/02/2019 04:39:54 AM,,40.8497016325,-73.9131938604
Utility-Other,10 Nathan Perlman Place,Manhattan,05/02/2019 11:30:49 AM,,40.7336050058,-73.9829362791
Structural-Collapse,496 Avenue P,Brooklyn,05/06/2019 11:43:08 PM,,40.6092116272,-73.9691775735
Fire-2nd Alarm,155-26 115 Avenue,Queens,12/17/2016 09:04:03 AM,,,
Structural-Collapse,496 Avenue P,Brooklyn,05/06/2019 11:43:08 PM,,40.6092116272,-73.9691775735
Structural-Collapse,496 Avenue P,Brooklyn,05/06/2019 11:43:08 PM,,40.6092116272,-73.9691775735
Fire-5th Alarm,1136 Olmstead Avenue,Bronx,06/22/2017 03:51:02 PM,,40.8304184966,-73.8538065521
Utility-Other,10 Nathan Perlman Place,Manhattan,05/02/2019 11:30:49 AM,,40.7336050058,-73.9829362791
Fire-5th Alarm,1920 Walton Street,Bronx,09/27/2017 06:44:58 AM,,40.850532524,-73.9089195042
Fire-5th Alarm,1920 Walton Street,Bronx,09/27/2017 06:44:58 AM,,40.850532524,-73.9089195042
Structural-Collapse,27 West 38 Street,Manhattan,10/30/2015 10:39:24 AM,,40.7514236955,-73.9837981396
Fire-2nd Alarm,2582 briggs ave,bronx,04/16/2017 03:30:51 PM,,40.8638226935,-73.8934929748
Transportation-Train Subway,West 31 Street & 7 Avenue,Manhattan,04/03/2017 09:22:36 AM,,40.7144215406,-74.0060763804
Fire-Sensitive Location,64 Norfolk Street,Manhattan,05/14/2017 07:15:30 PM,,40.7144215406,-74.0060763804
Fire-4th Alarm,112-23 208 Street,Jamaica,04/23/2017 02:48:20 PM,,40.7017822896,-73.8084185797
Fire-4th Alarm,112-23 208 Street,Jamaica,04/23/2017 02:48:20 PM,,40.7017822896,-73.8084185797
Fire-Manhole,Nostrand Avenue & Gates Avenue,Brooklyn,04/24/2017 07:45:14 PM,,40.6861805045,-73.9507371586
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 06:35:24 PM,,40.714003641,-73.8299893315
Fire-Sensitive Location,64 Norfolk Street,Manhattan,05/14/2017 07:15:30 PM,,40.7144215406,-74.0060763804
Utility-Water Service Line,10502 Avenue D,Brooklyn,04/25/2017 06:22:07 AM,,,
Fire-5th Alarm,1920 Walton Street,Bronx,09/27/2017 06:44:58 AM,,40.850532524,-73.9089195042
Fire-Sensitive Location,1315 54 Street,Brooklyn,05/07/2019 02:13:47 AM,,40.6319900075,-73.9946073831
Fire-5th Alarm,1920 Walton Street,Bronx,09/27/2017 06:44:58 AM,,40.850532524,-73.9089195042
Fire-3rd Alarm,2062 62 Street,Brooklyn,04/28/2017 03:21:31 PM,04/29/2017 01:07:02 AM,40.6172959935,-73.9825560692
Administration-Drill,317 East 67 Street,Manhattan,02/23/2017 02:55:01 PM,,40.7144215406,-74.0060763804
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 06:35:24 PM,,40.714003641,-73.8299893315
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 06:35:24 PM,,40.714003641,-73.8299893315
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 06:35:24 PM,,40.714003641,-73.8299893315
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 06:35:24 PM,,40.714003641,-73.8299893315
Utility-Gas High Pressure,50-15 Beach Channel Drive,Queens,12/19/2016 11:25:52 AM,12/19/2016 02:57:04 PM,40.714003641,-73.8299893315
Fire-1st Alarm,151 West 100 Street,Manhattan,12/23/2016 01:36:49 PM,,40.7144215406,-74.0060763804
Fire-6th Alarm,24 Murray Street,Manhattan,09/01/2017 07:10:52 PM,,40.7136689795,-74.0086248296
Utility-Water Main,5601 16 Avenue,Brooklyn,12/20/2016 07:16:23 AM,,40.6268184038,-73.9898394887
Fire-Haz Mat,41-12 12 Street,Queens,06/12/2017 01:36:36 PM,,40.714003641,-73.8299893315
Structural-Street Collapse,FDR Drive & East 14th Street,Manhattan,09/28/2017 07:44:57 PM,,40.784994,-73.940913
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,,40.714003641,-73.8299893315
Utility-Water Main,Nugent Avenue & Graham Boulevard,Staten Island,05/08/2017 09:02:06 PM,,40.5783042333,-74.0910781652
Administration-Other,188 Street & 75 Avenue,Queens,05/10/2017 01:36:12 PM,,40.714003641,-73.8299893315
Structural-Street Collapse,FDR Drive & East 14th Street,Manhattan,09/28/2017 07:44:57 PM,,40.784994,-73.940913
Structural-Collapse,496 Avenue P,Brooklyn,05/06/2019 11:43:08 PM,,40.6092116272,-73.9691775735
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.6182550552,-73.9321540294
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.6182550552,-73.9321540294
Fire-3rd Alarm,64 Driggs Street,Staten Island,03/06/2017 04:10:57 AM,,40.5419465693,-74.1488719031
Fire-2nd Alarm,88 prospect park west,Brooklyn,03/04/2017 09:26:13 PM,,40.6673356193,-73.9746303503
Fire-7th Alarm,110-14 Liberty Avenue,Queens,03/04/2017 11:13:52 PM,,40.714003641,-73.8299893315
Fire-Collapse,1406 Prospect Avenue,Bronx,06/01/2019 03:04:29 PM,,40.8322653214,-73.896585649
Fire-4th Alarm,653 Crotona Park North,Bronx,03/06/2017 06:40:53 PM,,40.8425257627,-73.8946238894
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.6182550552,-73.9321540294
Fire-5th Alarm,72-10 Myrtle ave,Queens,06/24/2017 09:30:28 PM,,40.714003641,-73.8299893315
Fire-10-76 (Commercial High Rise Fire),570 Lexington Avenue,Manhattan,05/20/2019 04:34:11 PM,,40.7568190125,-73.9721686738
Fire-2nd Alarm,615 Hudson Street,Manhattan,06/25/2017 04:26:09 PM,,40.7144215406,-74.0060763804
Structural-Partial Collapse,246 West Fordham Road,Bronx,04/01/2017 09:55:47 AM,,40.8617165739,-73.9106834321
Administration-Other,188 Street & 75 Avenue,Queens,05/10/2017 01:36:12 PM,,40.714003641,-73.8299893315
Structural-Demolition,350 West 52nd Street,New York,05/30/2019 12:06:51 PM,,40.7642208374,-73.9869135242
Utility-Water Main,Himrod Street & Fairview Avenue,Queens,05/30/2019 07:42:13 PM,,40.70943,-73.9104435
Structural-Demolition,350 West 52nd Street,New York,05/30/2019 12:06:51 PM,,40.7642208374,-73.9869135242
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.6182550552,-73.9321540294
Fire-4th Alarm,112-23 208 Street,Jamaica,04/23/2017 02:48:20 PM,,40.7017822896,-73.8084185797
Fire-3rd Alarm,115 East 138 Street,Bronx,04/09/2017 12:53:44 AM,,,
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 05:10:29 PM,,40.6456749853,-74.0022560985
Fire-4th Alarm,112-23 208 Street,Jamaica,04/23/2017 02:48:20 PM,,40.7017822896,-73.8084185797
Structural-Construction Accident,570 broome street,manhattan,04/13/2019 03:51:16 AM,,40.724526362,-74.0066520113
Fire-5th Alarm,56-11 94 Street,Queens,04/11/2017 06:35:24 PM,,40.714003641,-73.8299893315
Structural-Demolition,350 West 52nd Street,New York,05/30/2019 12:06:51 PM,,40.7642208374,-73.9869135242
Structural-Crane,,Brooklyn,12/08/2016 09:38:34 PM,12/10/2016 12:25:33 PM,,
Transportation-Train Subway,West 31 Street & 7 Avenue,Manhattan,04/03/2017 09:22:36 AM,,40.7144215406,-74.0060763804
Structural-Demolition,350 West 52nd Street,New York,05/30/2019 12:06:51 PM,,40.7642208374,-73.9869135242
Utility-Manhole,51 Junius Street,Brooklyn,04/27/2017 04:41:08 AM,,40.6736693629,-73.9039862752
Law Enforcement-Haz Mat,150 dreiser loop,Bronx,04/13/2017 11:22:35 PM,,40.8768568566,-73.8297988884
Utility-Water Main,,Queens,04/26/2017 03:23:22 AM,,40.6624516516,-73.80039999
Fire-1st Alarm,151 West 100 Street,New York,12/23/2016 01:36:49 PM,,40.7144215406,-74.0060763804
Structural-Life Safety Violations,2028 East 9 Street,Brooklyn,12/16/2016 12:35:45 PM,12/16/2016 03:58:08 PM,40.5997244072,-73.9624261356
Structural-Collapse,1294 Park Pl,Brooklyn,10/17/2017 10:00:47 AM,,,
Utility-Water Main,Rockaway Boulevard   & Brookville Boulevard,Queens,05/17/2017 06:56:05 AM,,,
Structural-Collapse,173-07 Liberty Avenue,Queens,09/29/2017 12:25:04 PM,,40.7046896118,-73.7847994407
Structural-Collapse,705 Lafayette Ave,Brooklyn,06/04/2019 12:23:48 PM,,40.6906344055,-73.9448865941
Utility-Water Main,207 Madison Street,Manhattan,05/03/2017 09:03:18 AM,,40.7144215406,-74.0060763804
Structural-Crane,225 Park Avenue South,Manhattan,12/09/2016 12:20:14 PM,,40.7144215406,-74.0060763804
Utility-Water Main,832 Post Avenue,Staten Island,05/03/2017 06:45:39 AM,,40.6310236499,-74.1287885912
Fire-1st Alarm,151 West 100 Street,New York,12/23/2016 01:36:49 PM,,40.7144215406,-74.0060763804
Structural-Other,526 Logan Street,Brooklyn,06/06/2019 04:13:08 PM,,40.6731533994,-73.8758354136
Structural-Collapse,496 Avenue P,Brooklyn,05/06/2019 11:43:08 PM,,40.6092116272,-73.9691775735
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.6182550552,-73.9321540294
Fire-5th Alarm,2118 Flatbush Avenue,Brooklyn,04/17/2019 06:47:50 AM,,40.6182550552,-73.9321540294
Fire-6th Alarm,702 44th street,Brooklyn,04/03/2019 05:10:29 PM,,40.6456749853,-74.0022560985
Administration-Other,188 Street & 75 Avenue,Queens,05/10/2017 01:36:12 PM,,40.714003641,-73.8299893315
Fire-Hospital,121 Dekalb Ave,Brooklyn,04/15/2019 06:50:17 AM,,40.689915681,-73.9781232892
Structural-Street Collapse,54 East 181 Street,Bronx,06/10/2017 07:11:46 PM,,40.8552350403,-73.904523586
Fire-5th Alarm,72-10 Myrtle ave,Queens,06/24/2017 09:30:28 PM,,40.714003641,-73.8299893315
Structural-Street Collapse,FDR Drive & East 14th Street,Manhattan,09/28/2017 07:44:57 PM,,40.784994,-73.940913
Law Enforcement-Suspicious Package,800 2nd Avenue,Manhattan,10/26/2017 03:17:12 PM,,40.780869475,-73.9676918784
