,,,,,,,,,,,Loss tr,Loss te,RMSE,Min-max,std,,,,,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.059,961,0.99,0.1762,20-05-08_16-51,20-05-03_03-29,./Data/With_Features/structural.csv,5001,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.056,935,0.98,0.1716,20-05-08_16-52,20-05-03_03-29,./Data/With_Features/structural.csv,7501,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.054,921,0.98,0.1679,20-05-08_16-53,20-05-03_03-29,./Data/With_Features/structural.csv,10001,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.051,896,0.96,0.1584,20-05-08_16-54,20-05-03_03-29,./Data/With_Features/structural.csv,12501,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.051,892,0.96,0.1572,20-05-08_16-55,20-05-03_03-29,./Data/With_Features/structural.csv,15001,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.051,891,0.96,0.1579,20-05-08_16-56,20-05-03_03-29,./Data/With_Features/structural.csv,17501,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.049,877,0.95,0.1541,20-05-08_16-57,20-05-03_03-29,./Data/With_Features/structural.csv,20001,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.049,878,0.93,0.1555,20-05-08_16-58,20-05-03_03-29,./Data/With_Features/structural.csv,22501,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.049,876,0.92,0.1533,20-05-08_16-59,20-05-03_03-29,./Data/With_Features/structural.csv,25001,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.047,862,0.92,0.1491,20-05-08_17-00,20-05-03_03-29,./Data/With_Features/structural.csv,27501,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.047,857,0.92,0.1469,20-05-08_17-01,20-05-03_03-29,./Data/With_Features/structural.csv,30001,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.047,864,0.93,0.1503,20-05-08_17-02,20-05-03_03-29,./Data/With_Features/structural.csv,32501,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.046,855,0.91,0.1455,20-05-08_17-03,20-05-03_03-29,./Data/With_Features/structural.csv,35001,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.046,855,0.92,0.1457,20-05-08_17-04,20-05-03_03-29,./Data/With_Features/structural.csv,37501,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.046,850,0.9,0.1435,20-05-08_17-05,20-05-03_03-29,./Data/With_Features/structural.csv,40001,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.044,834,0.85,0.1382,20-05-08_17-06,20-05-03_03-29,./Data/With_Features/structural.csv,42501,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.045,839,0.89,0.1409,20-05-08_17-07,20-05-03_03-29,./Data/With_Features/structural.csv,45001,
lstm_unguided,50000,1,15,5,0.001,50,RB,421,90,sigmoid,0,0.046,849,0.87,0.1434,20-05-08_17-08,20-05-03_03-29,./Data/With_Features/structural.csv,47501,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.028,666,0.39,0.0432,20-05-08_17-09,20-05-03_04-38,./Data/With_Features/structural.csv,5001,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.034,734,0.94,0.0914,20-05-08_17-10,20-05-03_04-38,./Data/With_Features/structural.csv,7501,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.042,818,0.98,0.127,20-05-08_17-11,20-05-03_04-38,./Data/With_Features/structural.csv,10001,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.052,905,1,0.1593,20-05-08_17-12,20-05-03_04-38,./Data/With_Features/structural.csv,12501,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.06,975,1,0.1815,20-05-08_17-13,20-05-03_04-38,./Data/With_Features/structural.csv,15001,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.065,1016,1,0.1954,20-05-08_17-14,20-05-03_04-38,./Data/With_Features/structural.csv,17501,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.068,1036,1,0.2014,20-05-08_17-15,20-05-03_04-38,./Data/With_Features/structural.csv,20001,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.077,1096,1,0.2195,20-05-08_17-16,20-05-03_04-38,./Data/With_Features/structural.csv,22501,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.08,1126,1,0.23,20-05-08_17-17,20-05-03_04-38,./Data/With_Features/structural.csv,25001,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.08,1124,1,0.2319,20-05-08_17-18,20-05-03_04-38,./Data/With_Features/structural.csv,27501,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.082,1134,1,0.2347,20-05-08_17-19,20-05-03_04-38,./Data/With_Features/structural.csv,30001,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.08,1125,1,0.2308,20-05-08_17-20,20-05-03_04-38,./Data/With_Features/structural.csv,32501,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.084,1152,1,0.2373,20-05-08_17-21,20-05-03_04-38,./Data/With_Features/structural.csv,35001,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.084,1151,1,0.2368,20-05-08_17-22,20-05-03_04-38,./Data/With_Features/structural.csv,37501,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.085,1159,1,0.2379,20-05-08_17-24,20-05-03_04-38,./Data/With_Features/structural.csv,40001,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.084,1151,1,0.235,20-05-08_17-25,20-05-03_04-38,./Data/With_Features/structural.csv,42501,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.086,1161,1,0.2364,20-05-08_17-26,20-05-03_04-38,./Data/With_Features/structural.csv,45001,
lstm_unguided,50000,1,15,5,0.0001,100,RB,421,90,sigmoid,0,0.081,1129,1,0.2291,20-05-08_17-27,20-05-03_04-38,./Data/With_Features/structural.csv,47501,
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0.032,0.028,660.0,0.94,0.039,1.0,20001,811.210522386891,0.057978164,1.0,20-05-10_20-53,,./Data/With_Features/structural.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0.039,0.031,693.0,0.85,0.0682,1.0,42501,810.3377288264559,0.052845,1.0,20-05-10_21-39,,./Data/With_Features/structural.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0.034,0.029,678.0,0.12,0.0343,1.0,7501,798.9055911268431,0.063112795,1.0,20-05-10_22-25,,./Data/With_Features/structural.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,421,90,sigmoid,0.034,0.028,668.0,0.74,0.0395,1.0,49999,800.9207134953604,0.05046081,1.0,20-05-10_23-12,,./Data/With_Features/structural.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,559,90,sigmoid,0.103,0.089,1859.0,0.02,0.0083,1.0,15001,2077.6719718282484,0.058711883,1.0,20-05-10_23-57,,./Data/DropCloseDate_Quant/structural.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,559,90,sigmoid,0.104,0.089,1855.0,0.27,0.0143,1.0,20001,2077.3891449806847,0.046695262,1.0,20-05-11_01-04,,./Data/DropCloseDate_Quant/structural.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,559,90,sigmoid,0.101,0.089,1862.0,0.17,0.0214,1.0,30001,2061.2924615864827,0.04591994,1.0,20-05-11_02-12,,./Data/DropCloseDate_Quant/structural.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,559,90,sigmoid,0.108,0.09,1866.0,0.59,0.0315,1.0,25001,2070.3742151385063,0.04537482,1.0,20-05-11_03-16,,./Data/DropCloseDate_Quant/structural.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,733,90,sigmoid,0.094,0.054,1445.0,0.01,0.002,1.0,5001,1634.0789421572913,0.064048626,1.0,20-05-11_04-21,,./Data/Median_Quant/structural.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,733,90,sigmoid,0.103,0.056,1478.0,0.17,0.0199,1.0,22501,1651.7543628325207,0.04620546,1.0,20-05-11_05-48,,./Data/Median_Quant/structural.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,733,90,sigmoid,0.103,0.057,1492.0,0.07,0.0121,1.0,17501,1662.693715053127,0.04726245,1.0,20-05-11_07-14,,./Data/Median_Quant/structural.csv
lstm_unguided,50000,1,15,5,0.01,10,RB,733,90,sigmoid,0.1,0.055,1458.0,0.03,0.0033,1.0,5001,1670.7644686442286,0.057492018,1.0,20-05-11_08-40,,./Data/Median_Quant/structural.csv
